Epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.3246238910489612,0.8893849206349206,0.17301621098840048,0.9608134920634921
2,0.17341613213694285,0.9469246031746031,0.12244451530869045,0.9717261904761905
3,0.15104315039657412,0.9474206349206349,0.11702961817620293,0.9618055555555556
4,0.14603539337477986,0.9459325396825397,0.09465235861993972,0.9751984126984127
5,0.11974603032308911,0.9613095238095238,0.08213610817042608,0.9816468253968254
